rating,review_text,steming_data
1,gak bisa di buka,buka
1,gabisa dibuka,buka
1,apk erorr keluar keluar sendiri,apk erorr
1,"sangat menyusahkan orang, aplikasinya jelek bgt gak bisa dibuka",susah orang aplikasi jelek banget buka
1,ga bisa dibuka sama sekali,buka
1,kenapa ga bsa buka kak?,buka kak
1,"update versi terlalu ketinggian, hp kader pada gak support",update versi tinggi hp kader support
1,aplikasinya tidak bisa dibuka....udah update berkali kali...,aplikasi dibukaudah update kali kali
1,"berulang x saya update tp tpp tak bisa masuk,selalu gagal padahal kerjaan sdh menumpuk",ulang kali update tpp masukselalu gagal kerja tumpuk
1,ketika klik buka ..sering keluar terus ..,klik buka
2,"aplikasinya kok gabisa digunakan , baru dibuka langsung kembali sendiri , mohon bantuannya",aplikasi buka langsung mohon bantu
1,aflikasi ini tdk bisa di buka tolong perbaiki sistem nya supaya pengisian data bisa lancar,aflikasi buka tolong baik sistem ya isi data lancar
1,aplikasi tidak bisa dibuka tolong secepatnya dibetulkan.,aplikasi buka tolong cepat betul
1,gak bisa masuk ke aplikasinya,masuk aplikasi
1,aplikasi bisa d buka tapi langsung keluar sendiri,aplikasi buka langsung
1,tolong perbaiki... aplikasinya berat ga bisa kebuka...malah keluar sendiri,tolong baik aplikasi berat kebukamalah
1,aplikasi tidak bisa di buka,aplikasi buka
1,"Di handphone Xiaomi redmi note 9 aplikasi tidak bisa dibuka , force close sendiri sudah dicoba install dan uninstall dan restart masih saja tidak bisa tolong di fix",handphone xiaomi redmi note aplikasi buka force close coba install uninstall restart tolong fix
1,"apk cacat, gabisa login:(",apk cacat login
1,"Aplikasinya setelah di upgrade tidak bisa di buka, menyusahkan pekerjaan kita sebagai TPK tolong untuk memperbaiki aplikasinya",aplikasi upgrade buka susah kerja tpk tolong baik aplikasi
1,"kenapa aplikasi tidak bisa dibuka, pada hal kami ada veriv ikasi data mohon info balik,makasih .",aplikasi buka veriv ikasi data mohon info balikmakasih
2,"susah masuk aplikasi sudah di instal kembali lagi,kembali lagi",susah masuk aplikasi instal lagikembali
1,"ini apk gimana ya, calon pengantin yang mau upload surat tidak bisa membuka apk, selalu terpental dari apk mohon perbaikanya demi peningkatan layanan ya min, harus menggunakan gadget seri apa supaya bisa masuk ini ke apk ini?",apk ya calon pengantin upload surat buka apk pental apk mohon perbaikanya tingkat layan ya min gadget seri masuk apk
1,susah dibuka,susah buka
1,"tolong dong, kenapa pas masuk aplikasinya langsung keluar sendiri? saya butuh penjelasan karna kita ada yang harus di kerjakan",tolong pas masuk aplikasi langsung butuh jelas kerja
1,aplikasi error d buka GK bisa kluar LG kluar lg,aplikasi error buka
1,setiap buka aplikasi selalu keluar sendiri,buka aplikasi
1,"sulit masuk ke aplikasi,kalau dibuka langsung kembali lagi,alias tidak bisa dibuka",sulit masuk aplikasikalau buka langsung lagialias buka
2,"Mengharapkan pengisan data cepat, sedangkan bug aplikasi masih segudang. Mulai Dari UI sampai Server. Saya mengerti pihak developer pasti penuh tekanan.",harap pengisan data cepat bug aplikasi gudang ui server erti developer penuh tekan
2,tolong perbaiki aplikasinya selalu tidak bisa di buka,tolong baik aplikasi buka
1,"siga kali ini membuat saya menyerah, karena membutuhkan tipe android versi 12 ke atas, dan sangat memberatkan pendata yg berekonomi bawah",siga kali serah butuh tipe android versi berat data ekonom
1,aplikasi nya tdk terbuka di semua hp apa salahnya aplikasi nya di perbaiki biar pendataan verval lebih memudahkan para kader,aplikasi ya buka hp salah aplikasi ya baik biar data verval mudah kader
1,gk bisa di buka aplikasinya,buka aplikasi
1,sangat jelek aplikasinya,jelek aplikasi
1,tidak bisa masuk ke aplikasi,masuk aplikasi
1,aplikasi apaan nih...bukannya mempermudah kerja TPK...malah mempersulit IBU2 TPK...kasihan donk !!! disatu sisi ditekan hrs beres..disisi aplikasi ngga mendukung....!!!,aplikasi nihbukannya mudah kerja tpkmalah sulit tpkkasihan satu sisi tekan beresdisisi aplikasi dukung
1,"aplikasi jelek, tidak bisa dibuka",aplikasi jelek buka
2,tidak bisa di buka,buka
1,"aplikasi ga bisa dibuka, bagaimana kami akan mengisi data",aplikasi buka isi data
2,tidak bisa di buka aplikasinya,buka aplikasi
1,ini gimana udah bikin bikin akun login malah keluar terus.. tolong diperbaikin dong supaya bisa dipake aplikasinya,bikin bikin akun login tolong diperbaikin pakai aplikasi
1,"tolonglah aplikasinya ini diperbaiki, saya tidak bisa bekerja Karn aplikasi tidak mau terbuka terus tiba2 keluar sendiri",tolong aplikasi baik karn aplikasi buka
2,aplikasi ini tidak bisa di buka,aplikasi buka
1,ga bisa terbuka,buka
1,😒😤😤😤,nan
1,tidak bisa dibuka,buka
1,"aplikasi macam apa ini,tolong perbaiki lagi , aplikasi nya selalu force close/keluar sendiri,tolong perbaiki agar bisa di hp rendah juga",aplikasi initolong baik aplikasi ya force closekeluar sendiritolong baik hp rendah
1,"jawab Minnn Pertanyaan kami Kader TPK Jangan mempersulit Kami ,😪😪",minnn kader tpk sulit
1,aplikasi jelek,aplikasi jelek
1,ga bisa d buka,buka
2,"Maaf Bintangnya saya cabut 2, bagaimana TPK bisa kerja kalau mau masuk ke aplikasinya aja terpental trs alias tdk bisa masuk, bolak balik dicoba msh begitu trs, sampai akhirnya ada notif ""Siga Mobile telah terhenti"". Diulang lg prosesnya dr awal uninstall trs install kembali tetap sama aja TDK bisa masuk ke aplikasi... maaf ini maunya bgmn sii...?? tlg dong segera diperbaiki biar kita bisa kerja lagi.. 🙏🙏 secepatnya kalau sdh normal lgsg aku tambah lg deh Bintangnya...✌️☺️",maaf bintang cabut tpk kerja masuk aplikasi pental alias masuk bolak coba notif siga mobile henti ulang proses uninstall install masuk aplikasi maaf mau sih tolong baik biar kerja cepat normal langsung deh bintang
1,Knp di hp saya tidak bisa dibuka ini aplikasi,hp buka aplikasi
1,ga bisa di buka,buka
1,ini aplikasinya knapa yaaa kluar kluar muluu klo mau buka aplikasi gagal memuat terus heran deh,aplikasi knapa ya muluu buka aplikasi gagal muat heran deh
1,Tidak bisa dibuka setelah update,buka update
1,"Saran untuk developer. Mayoritas pengguna adalah orang umum. Kalau ada update, jangan suruh mereka install apk sendiri yg didownload dari google drive. Mereka ngga bisa settingnya, belum resiko kalo ada orang ngga bertanggung jawab ngirim apk virus. Mohon agak dipertimbangkan dan dipikirkan kalau banyak pengguna itu gaptek, cuma bisa pakai hp, bukan otak atik. Ini belum bicara kemampuan server yg benar2 sangat kurang.",saran developer mayoritas guna orang update suruh install apk didownload google drive settingnya resiko orang tanggung kirim apk virus mohon timbang pikir guna gaptek pakai hp otak atik bicara mampu server
2,tiba2 sering berhenti padahal lagi d gunakan dan susah menyimpan,henti susah simpan
1,kenapa SiGa mobile di hp saya gak bisa di buka,siga mobile hp buka
1,"jelek, keluar sendirinya, apk prematur sudah di louncing",jelek apk prematur louncing
1,aplikasi mo dipake error caranya gimana nggih..,aplikasi pakai error nggih
1,"aplikasi tidak bisa di buka, keluar terus",aplikasi buka
2,"kecewa, setiap masuk aplikasi selalu keluar dengan sendirinya, bahkan hp juga sudah bersih,, tolong perbaiki segera",kecewa masuk aplikasi hp bersih tolong baik
1,kenapa gak bisa di buka aps nya,buka aps ya
1,"sudah daftar,malah aplikasinya tidak bisa di buka",daftarmalah aplikasi buka
1,belum bisa masuk di aplikasi,masuk aplikasi
1,tidak bisa masuk ke aplikasi.. jd tidak bisa masukan data,masuk aplikasi masuk data
1,"maaf saya kasih rating buruk. aplikasi siga ini dari semua versi dulu ke sekarang banyak banget bug nya, macet, server eror, force close, ga bisa login, gak bisa nyimpen data, selalu diarahin ke playstore untuk update barunya, setelah update juga banyak kendala mental melulu, ga bisa masuk sama sekali ..ini hp saya juga android 11 ram nya kecil 3 gb penyimpanan juga saya kurangi masih aja kayak gitu. mohon diperbaiki. ditindak lanjut. ditunggu versi barunya. semoga aja bisa masuk dan input data.",maaf kasih rating buruk aplikasi siga versi banget bug ya macet server eror force close login simpan data diarahin playstore update baru update kendala mental melulu masuk hp android ram ya gb simpan kurang kayak mohon baik tindak tunggu versi baru moga masuk input data
1,sejak update sering keluar sendiri aaaaaaaaaaaaahhh,update aaaaaaaaaaaaahhh
1,"aplikasinya ga terbuka, pas di reinstall malah sama aja. tolong perbaiki dong. masa setiap pengisian begini. masa harus ganti hp tiap update apk. dari kmrn2 apk ini tidak perbaikan, ntah apa yg di update.huhh bener2 BURUK. KLU TIDAK SIAP IKUTIN PERKEMBANGAN, GA USAH PETANTANG PETENTENGAN BUAT APK YG SAMA SEKALI GA BISA DIAKSES. NGABISIN DANA AJA",aplikasi buka pas reinstall tolong baik isi ganti hp update apk kemarin apk baik updatehuhh buruk ikut kembang tantang petenteng apk akses ngabisin dana
2,"aplikasinya malah nge bug, ga bisa masuk. pasti langsung ke luar sendiri",aplikasi nge bug masuk langsung
1,"gak heran aplikasi pemerintah hanya utk habisin anggaran.,",heran aplikasi perintah habisin anggar
2,kirain hp saya yg rusak....rupanya mmng semua terkendala dengan aplikasi siga yg terupdate ini.mau balik sendiri.sehingga tidak bisa digunakan untuk input data 🤦 mohon segera di-update ulang lgi ya,hp rusakrupanya mmng kendala aplikasi siga terupdate inimau sendirisehingga input data mohon diupdate ulang ya
2,"aplikasi gagal dibuka,mohon perbaiki",aplikasi gagal dibukamohon baik
1,Kocak abis daftar gk bisa masuk keluar apl mulu. Kalo blm siap luncurin sistem / aplikasi jgn di jalanin. nyusahin yg bener2 butuh.,kocak habis daftar masuk apl mulu luncurin sistem aplikasi jalan susah butuh
2,tidak bisa digunakan untuk android 12 ke bawah,android
1,buruk,buruk
1,siga makin kesini makin gajelas password bener email bener tapi GK bisa masuk klo udh masuk tetiba keluar sendiri mohon di perbaiki🙏,siga kesini password email masuk masuk tetiba mohon baik
1,sangat tidak menjamin loding sendiri kembali terus.,jamin loding
2,jelek tidak seperti apk yg dulu lancar terus,jelek apk lancar
1,jelek mental terus tiap di buka,jelek mental buka
1,"apk nya tida bisa dibuka, malah keluar terus",apk ya tida buka
2,Aplikasi errroorrr.. ga bisa masukkk,aplikasi errroorrr masukkk
1,aplikasi susah di buka sudah di dwonload berulang2 tetap tdk bisa,aplikasi susah buka dwonload ulang
1,"saya minta maaf banget hanya bisa memberi 1bintang, untuk app ini setiap saya mengguna kan nya slalu keluar sendiri dari applksi tolong di perbaiki dong saya sangat mbutuh kn nya buat data verval saya.",maaf banget bintang app guna ya applksi tolong baik mbutuh ya data verval
1,aplikasi nya nggk bisa masuk keluar terus super jelek,aplikasi ya masuk super jelek
1,"aplikasi habis di instal keluar sendiri, payahhhh",aplikasi habis instal payahhhh
1,"aplikasi siga terbaru kenapa nge bug di HP saya, gak bisa masuk sama sekali diklik selalu kembali keluar, padahal sebelumnya bisa apakah ada perubahan pada aplikasi terkait standar HP atau gimana, soalnya di HP temen saya bisa masak dihp saya gak bisa, mana dikejar deadline aplikasi error terus",aplikasi siga baru nge bug hp masuk klik ubah aplikasi kait standar hp hp teman masak dihp kejar deadline aplikasi error
1,gak bisa di buka apk nya. gimana mau regis.. kacau,buka apk ya regis kacau
1,lelet,lelet
1,"kenapa aplikasinya susah di buka, selalu keluar setiap kali dibuka",aplikasi susah buka kali buka
1,aplikasi tidak dapat dibuka pekkerjaan jadi tertunda,aplikasi buka pekkerjaan tunda
1,aplikasinya saya kasih bintang 1 ya.. karena setiap kali mau masuk sering keluar dengan sendirinya aplikasinya.. mohon di perbaiki lagi🙏🙏🙏jadi kita TPK sangat sulit untuk Menginput data.,aplikasi kasih bintang ya kali masuk aplikasi mohon baik lagijadi tpk sulit menginput data
1,aplikasi tidak ada guna mohon klau buat aplikasi di buat jgan menyussakan kami,aplikasi mohon aplikasi menyussakan
1,apk nya emng gk bagus ngebug terus,apk ya bagus ngebug
1,sampai ganti dua hp ternyata tetap tidak bisa selalu kembali ke setelan awal. haduhhh,ganti hp setel haduhhh
1,susah masuk!!!! keluar2 terus sangat mau masuk aplikasinya,susah masuk masuk aplikasi
1,sering eror jadi menghambat ke pekerjaan,eror hambat kerja
1,"developer amatir, masuk instansi.. hasil 0 bayaran selangit",developer amatir masuk instansi hasil bayar langit
1,"udah dicoba berkali"" tetep aja baru masuk lngsung kluar ke halaman utama sampek capek",coba kali masuk langsung halaman utama capek
1,"kenapa siga mobile saya gx bisa d buka, selalu membal ke layar semula, padahal udh bolak balek uninstal n downlod lagi, tapi tetap aja gx bisa, kan saya gx bisa masukin data bumil baru.",siga mobile buka membal layar bolak balek uninstal n downlod pasuk data bumil
1,aplikasi keluar sendiri,aplikasi
1,sy tdk bs menginstal aplikasi ini sllu eror tdk bs d buka,menginstal aplikasi eror buka
1,Apk Bodoh sekali,apk bodoh
1,"kenapa udah beberapa kali donlod keluar lagi jadi g bisa kerja ,kenapa ya",kali donlod kerja ya
1,parah sekali apk nya min,parah apk ya min
1,semakin kesini semakin kesana,kesini kesana
1,aplikasi mari di apdet GK tambah penak tambah njengkel no ati ...GK kenek di buka blas ...trus piye Leh ngerjakno ngerjakno di Uber waktu kudu mari tgl sak mene aplikasi ne kotok Taek,aplikasi mari apdet penak njengkel no ati kenek buka blas piye ngerjakno ngerjakno uber kudu mari tanggal sak mene aplikasi kotok tahi
1,loading mulu gagal mulu,loading mulu gagal mulu
1,"gabisa masuk sama sekali, leluar mulu aneh",masuk luar mulu aneh
1,"knapa setiap buka aplikasi TDK bisa mlhan mental lgi balik ke aplikasi ...sama sekali TDK bisa buka .sdh di unistal d unduh lgi sampai berkali"" Tetp di klik buka TDK bisa sampai habis kuota 🙏🙏",knapa buka aplikasi mlhan mental aplikasi buka unistal unduh kali klik buka habis kuota
1,aplikasi nya sering keluar sendiri padahal sudah di install berulang kali,aplikasi ya install ulang kali
1,"tidak bisa di buka sama sekali, setelah di update, bagaimana kami mau bekerja kalau aplikasi nya seperti ini",buka update aplikasi ya
1,"tidak bisa masuk tolong diperbaiki lagi,baru ditekan langsung dilempar keluar,kalau sudah diperbaiki nanti saya kasih bintang 5",masuk tolong baik lagibaru tekan langsung lempar keluarkalau baik kasih bintang
1,jelek banget aplikasi yg skrg ini udh unistl ulang tetep gak bisa di bilang email ID salah terus,jelek banget aplikasi unistl ulang bilang email id salah
1,setelah update jadi force close. fatal update ini mah,update force close fatal update mah
1,bikin emosi mau masuk aplikasi sdh 10 x lebih ngk bisa masuk langsung keluar dari aplikasi.. puyeng di kejer data minta cepet tapi aplikasi lemot kek sipput ngk bisa d buka,bikin emosi masuk aplikasi kali masuk langsung aplikasi puyeng kejer data cepat aplikasi lot kayak sipput buka
1,kenapa waktu masuk ke siga ini langsung kembali,masuk siga langsung
1,"aplikasi yg baru gak bisa dibuka, masukin id pengguna langsung balik",aplikasi buka pasuk id guna langsung
1,di bukak tidak bisa,buka
1,"sangat sulit,karna tipe hp Android di haruskan 6 giga.....😭😭",sulitkarna tipe hp android harus giga
1,aplikasinya susah dibuka semenjak di update sering keluar langsung dari aplikasinya,aplikasi susah buka semenjak update langsung aplikasi
2,"ini aplikasi sering banget error, minta updatenya bentar2, dalam 1 bulan bisa update sampe 3 5 kali. Selalu terlambat input gara2 sering error",aplikasi banget error updatenya bentar update kali lambat input gara error
2,kenapa tidak bisa di buka aplikasinya,buka aplikasi
1,"tolong aplikasinya diperbaiki,tiba tiba hilang",tolong aplikasi diperbaikitiba hilang
1,"Aplikasi mental terus, berulang kali uninstal, instal lagi masih juga tdk bisa. pekerjaan dituntut selesai tapi aplikasinya tdk mendukung. bagaimana ini miinnnn....kalo diminta upgrade hp lebih baik mundur dr tpk, tdk semua kader orang berpunya...😥",aplikasi mental ulang kali uninstal instal kerja tuntut selesai aplikasi dukung miinnnnkalo upgrade hp mundur tpk kader orang punya
1,tidak bisa kebuka,buka
1,"banyak yang pakai hp dibawah versi 12, gabisa kebuka jadinya, tolong di perbaiki lagi",pakai hp bawah versi buka tolong baik
1,"download dah berulang ulang tp tidak kebuka / memulai, bgimna mau nginput ini🤦🤔🤕",download ulang ulang buka bgimna nginput
2,sering eror,eror
2,kenapa tidak bisa memdowlod siga,memdowlod siga
1,Mohon maaf 🙏.. Sering instal ulang terus .. itupun belum tentu langsung berhasil .. tidak bisa di ajak kerjasama dalam kejar tayang .. sampai cari celah waktu di jam 01.22 wib .. masih tetap tidak bisa .. 🙏😇,mohon maaf instal ulang itu langsung hasil ajak kerjasama kejar tayang cari celah jam wib
2,"aplikasi nya sangat buruk tidak bisa di buka,, kembali lagi. kembali lagi,, pekerjaan di tuntut untuk selesai secepat nya tapi aplikasinya gak bisa di pake",aplikasi ya buruk buka kerja tuntut selesai cepat ya aplikasi pakai
1,knpa aplikasinya GK bisa dibuka..tolong petunjuknya,aplikasi dibukatolong tunjuk
1,kenapa aplikasi ini TDK bisa saya buka waktu z buka kembali ulang,aplikasi buka buka ulang
1,"aplikasi kaga jelas, kalo mau isi from otomatis yg bner pilihan nya, udah pilihan kaga bisa di klik, di save kaga bisa",aplikasi kagak isi from otomatis pilih ya pilih kagak klik save kagak
1,ini kenapa apk nya seperti ini trs g bisa dibuka pdhl sudah di update bahkan di uninstall ulng ttep g bisa,apk ya buka update uninstall ulng
1,kenapa tidak bisa pindah ke persi baru muter terus,pindah pers muter
1,"sering keluar sendiri,mohon di perbaiki",sendirimohon baik
1,"aplikasi ini tidak dapat digunakan,muncul tutup aplikasi dan selesai, begitu seterusnya jadi tidak bisa dibuka.tidak seperti aplikasi elsimil yg sebelumnya mudah dibuka dan tidak pernah ada kendala mengonline kan verval atau elsimil",aplikasi digunakanmuncul tutup aplikasi selesai dibukatidak aplikasi elsimil mudah buka kendala mengonline verval elsimil
1,"lagi lagi kaya gini ,,gimana kader mau semangatt entri ,,gak papa honor dikit yg penting entrian lancar ,,semoga segera diperbaiki 🙏",kayak kader semangat entri papa honor dikit entri lancar moga baik
1,aplikasi macam apa ini? pilih² hp atau bgmana???😌,aplikasi pilih hp
1,aplikasi ini kok mental tidak mau d buka tolong kami yg ingin melakukan pendataan terhambat..,aplikasi mental buka tolong data hambat
1,sudah update terbaru sudah hapus cache tapi tetap tidak bisa buka,update baru hapus cache buka
1,saya mau batalin pendaftaran ini gimana yah,batalin daftar ya
1,kenapa aplikasi terus berhenti,aplikasi henti
1,mental terus tidak bisa masuk aplikasi,mental masuk aplikasi
1,"update apk nya sangat menggangu, begitu masuk lg apk membal. coba diperbaiki seperti semula bisa di gunakan untuk semua hp tanpa kapasitas yg ditentukan.",update apk ya menggangu masuk apk membal coba baik hp kapasitas tentu
1,"mending update lagi deh,apk nya ga bisa dibukaaaa,kepental mulu kalo dibuka mending perbaiki lagi update lagi,pdahal hp juga ngedukung,apk berat lainnya juga bisa dibuka ko ini ngga",mending update dehapk ya dibukaaaakepental mulu buka mending baik update lagipdahal hp ngedukungapk berat buka
1,"ini aplikasi ngak bisa di hp yang Ramnya tinggi, dia hanya bisa di hp yg ram 4 saja, percuma kemarin kita dibusahakan punya hp ramnya banyak biar bisa kerja,eh ternyata ngak bisa juga.hm...sampai saat ini😭",aplikasi hp ram hp ram kemarin dibusahakan hp ram biar kerjaeh jugahmsampai
1,katanya mudah taoibmalah mempersulit karena force close padahal udah android 14 tapi kaga bisa masuk,mudah taoibmalah sulit force close android kagak masuk
1,sekelas kantor pusat kok ngak bisa mempermudah kadernya mendata... kami ngak ada di gaji di sini.jgnlah mempersulit kader dalam hal membuat laporan.,kelas kantor pusat mudah kader data gaji sinijgnlah sulit kader lapor
1,"versi siga mobile di tahun ini harus memiliki ram 8, sementara saya hanya memiliki android yg ram nya pas pas'an. ini membuat saya sangat terkendala sekali untuk mengerjakan verval😭 tolong di verifikasi ulang apk nya 🙏",versi siga mobile milik ram milik android ram ya pas pas kendala verval tolong verifikasi ulang apk ya
2,kenapa aplikasinya selalu keluar,aplikasi
1,"GA JELAS, ORG BLM PERNAH DAFTAR DIKATAIN AKUN GOOGLE UDH TERDAFTAR, NIK SUDAH TERDAFTAR, DICOBA MASUK GA BS, PAKE AKUN GOGLE LAIN GA BS, MNTA RESET PSWRD DI SURUH CEK EMAIL BERKALI2, KATANYA UDH DI KIRIM, SKALI DI CEK GA AD MASUK2 , APLIKASI PEMERINTAH YA GINI, NYUSAHIN ORANG, KALO UDH TUA2 PENSIUN DAH BOOMERS, NYUSAHIN KEK GINI",orang daftar katai akun google daftar nik daftar coba masuk pakai akun gogle reset pswrd suruh cek email kali kirim cek masuk aplikasi perintah ya susah orang tua pensiun boomers susah kayak
1,tidak. bisa di buka aplikasi.🔥,buka aplikasi
1,tidak bisa terbuka,buka
2,aplikasi nya kok nggak bisa terus,aplikasi ya
1,"knapa akhir2 ini setelah download waktu dibuka selalu mental ... please perbaiki sistemnya, menghambat kerjaan kader !!!",knapa download buka mental please baik sistem hambat kerja kader
1,"percuma bikin aplikasi kalo ga bisa dibuka dg os 11,1 kan rata rata konsumen hp nya ga banyak yg versi 12...kacau balau...",bikin aplikasi buka os konsumen hp ya versi kacau balau
2,"gak bisa dibuka di android OS 11,1",buka android os
1,"saya bingung dgn aplikasi terbaru ini, ko susa di buka pd hal sdh di Download aplikasi 🤦 teman² bilang harus punya penyimpanan banyak sebagian vido & poto sdh di hapus masi saja belum bisa terbuka. jadinya pendataan jdi terhambat kira² solusinya gimana ya admin??? saya rasa aplikasi dlu lebih bagus habis di download langsung bisa terbuka.",bingung aplikasi baru susa buka download aplikasi teman bilang simpan vido poto hapus buka data hambat solusi ya admin aplikasi bagus habis download langsung buka
1,ni aplikasi jelek amat. nyusahin ibu² pkk yg pada berjuang buat negara. padahal aplikasi pemerintah! harus di kroscek nih,nih aplikasi jelek susah pakai juang negara aplikasi perintah kroscek nih
1,"aplikasi jelek, gak bisa masuk tiba tiba keluar pas mau di buka. payah",aplikasi jelek masuk pas buka payah
1,pas dibuka kedip tok sudah uninstall dan install lagi hasil sama kedip tok,pas buka kedip tok uninstall install hasil kedip tok
1,kenapa aplikasi ini tidak bisa di buka,aplikasi buka
1,tdk bisa terbuka,buka
1,aplikasi mobile siga tidak bisa di download,aplikasi mobile siga download
2,"untuk update terbaru siga mobile susah untuk masuk ke apk sllu membal. mungkin, apk ini tdk bsa hp yg ram 4",update baru siga mobile susah masuk apk membal apk hp ram
1,Mana bisa kerja kalau Apl RUDET😩,kerja apl rudet
1,aplikasinya g bisa di buka mental terus,aplikasi buka mental
2,aplikasi tidak bisa d buka mohon untuk d perbaiki,aplikasi buka mohon baik
1,ini apknya gmana ya...kok malah gk bisa masuk... kemaren 2 bisa lo...update kok malah jadi gk bisa masuk...terus kita ngerjain laporannya gimana ini...😭😭 nanti kalo apk dah stabil kita kasih full bintang lah...sementar gini dulu biar cepet diperbaiki...🙏🏻🙏🏻,apknya yakok masuk kemarin loupdate masukterus ngerjain lapor apk stabil kasih full bintang lahsementar biar cepat baik
1,aplikasi sering eror saat ada update,aplikasi eror update
1,"Aplikasi sering macet, bbrp merk android tdk support",aplikasi macet merk android support
1,setelah diupdte tidak bisa masuk alias hp tidak support padahal ram 6 tolong diperbaiki . honor sama beli hp saja tidak sebanding :(,diupdte masuk alias hp support ram tolong baik honor beli hp banding
2,"saya mau simpan data tapi kok statusnya malah nik istri masuk kk lain, kan ngga mungkin no kk ny juga udah beda kok, tak cari di daftar tetep aja ngga ada nik yang yang sama tapi pas mau di simpan kok nik istri udah ada di kk lain.. kan anehh ni aplikasi kenapa merepotkan sekalii",simpan data status nik istri masuk kakak no kakak nya beda cari daftar nik pas simpan nik istri kakak anehh nih aplikasi repot
1,apk tidak bisa di buka,apk buka
2,aplikasi terus berhenti pnyebabnya apa yaa,aplikasi henti pnyebabnya ya
1,"kenapa setiap mau masuk itu selalu keluar terus, pas nyoba masuk lagi keluar lagi ini gimana",masuk pas coba masuk
1,"aplikasi buruk, force close berulang, tidak pernah bisa masuk",aplikasi buruk force close ulang masuk
1,aplikasinya gmn ini susah di buka,aplikasi susah buka
2,susah muter terus,susah muter
2,knapa punya sy ga bs login pdhl paswod benar imel benar tp ko ga bs trs kata nya paswod salah trs gmn solusi nya,knapa login paswod imel ya paswod salah solusi ya
2,aplikasi Siga mobilnya kenapa tidak bisa kebuka,aplikasi siga mobil buka
1,force close waeee...kumaha atuh apk teh..jdi keuheul 😡,force close waeeekumaha atuh apk tehjdi keuheul
1,"ngasih tugas tapi g d barengi dengan pelayanan apk nya setidaknya rampungin dulu ni apk Ampe bener biar kita selsaiin masukin data lah ini kaga baru juga pagi d suruh masukin data kesini ehh sore/malemnya udah kaga bisa d buka ni apk, trus udah muncul lagi apk baru suruh masukin data lagi ehh sama juga kaga bisa d buka kerja d suruh maksimal anggaran minimal😭😭 pihak it nya kalo perbaiki minimal Jan setengah-setengah lah ya cape d Ghosting Ama apk ni",asih tugas bareng layan apk ya rampungin nih apk biar selsaiin pasuk data kagak pagi suruh pasuk data kesini eh soremalemnya kagak buka nih apk muncul apk suruh pasuk data eh kagak buka kerja suruh maksimal anggar minimal ya baik minimal setengahsetengah ya capek ghosting apk nih
1,"Minta tolong kami kader jangan di persulit,bila ganti aplikasi kami kader di berikan solusi, terimakasih atas perhatiannya",tolong kader persulitbila ganti aplikasi kader solusi terimakasih perhati
1,"Aplikasi macam apa ini?? Bolak-balik dicopot terus diinstal lagi tetep mental gak bisa dibuka! HP dgn RAM dibawah 6GB gak bisa, dibawah OS10 juga gak bisa, atuh mikir bapak gak semua kader itu mampu dan punya hp bagus! tugas kader jadi tertunda dan kuota pun habis percuma gara-gara dipake copot-pasang aplikasi gajelas ini 👎",aplikasi bolakbalik copot diinstal mental buka hp ram bawah gb bawah os atuh mikir kader hp bagus tugas kader tunda kuota habis garagara pakai copotpasang aplikasi
1,"aplikasinya terus berhenti sebenarnya apa memang aplikasinya atau hpku sih, Sampek aku beli baru hp juga tetep aplikasi berhenti terus",aplikasi henti aplikasi hpku sih beli hp aplikasi henti
1,Sudah coba hapus semua aplikasi yang ada di hp tetep ga bisa di buka ternyata pas di cek itu kalo mau siga mobile kebuka harus pake android versi 12 kalo versi 11 pasti ke pental lagi ga akan bisa di buka,coba hapus aplikasi hp buka pas cek siga mobile buka pakai android versi versi pental buka
1,ga bisa dibuka..mental terus,dibukamental
1,bug terus,bug
1,bentar2 uninstall terus,bentar uninstall
1,"tolong apknya disempurnakan BPK/ ibu, sy repot mau kerja",tolong apknya sempurna bpk repot kerja
1,"aplikasinya gak bisa di buka sama sekali, tiap mau buka otomatis keluar sendiri,mohon prrbaikan aplikasinya.",aplikasi buka buka otomatis sendirimohon prrbaikan aplikasi
1,"sudah meng install ulang pas mau buka ga bisa,malah kembali",meng install ulang pas buka bisamalah
1,"susah sekali digunakan, diklik keluar sendiri terus",susah klik
1,"aplikasi siga tidak bisa di buka,, padahal lagi penting",aplikasi siga buka
1,ini aplikasi selain untuk catin kan utamanya untuk kader. tolong spesifikasi untuk OS jangan ketinggian. hp kader ga secanggih kalian,aplikasi catin utama kader tolong spesifikasi os tinggi hp kader canggih
1,tidak bisa terbuka,buka
1,aplikasi mobile perlu ditingkatkan karena kami mengalami kesulitan saat membuka aplikasi. aplikasi ini tidak bisa dibuka walaupun sudah diinstal ulang,aplikasi mobile tingkat alami sulit buka aplikasi aplikasi buka diinstal ulang
1,Aplikasi tidak bisa dibuka padahal d instal berulang ulang tapi stp d buka pasti kembali nutup terus,aplikasi buka instal ulang ulang buka nutup
1,tidak bisa di buka,buka
1,"tidak bisa masuk,apl tiba2 nutup sendiri",masukapl nutup
1,aplikasi raisoh di bukak.,aplikasi raisoh buka
1,ribet,ribet
